epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.80449,1.46552,4.00444,1.44005,0.14751,0.07976,0.11412,0.02838,1.57506,3.2609,1.5884,1e-05,1e-05,1e-05
2,3.33453,1.84357,3.85675,1.60603,0.14455,0.07143,0.10449,0.02849,1.63683,3.27966,1.62553,2.9406e-05,2.9406e-05,2.9406e-05
3,4.62832,1.67755,3.91092,1.48599,0.14409,0.07143,0.10209,0.02787,1.66611,3.29204,1.65371,4.802e-05,4.802e-05,4.802e-05
4,5.88118,1.32863,3.42738,1.28427,0.68352,0.40702,0.31287,0.24099,0.61771,1.75441,1.06609,6.5842e-05,6.5842e-05,6.5842e-05
5,8.86734,0.61499,1.7799,0.91791,0.44574,0.51414,0.36181,0.31636,0.66239,2.871,1.07463,8.2872e-05,8.2872e-05,8.2872e-05
6,14.2296,0.5417,1.63275,0.86681,0.45697,0.42879,0.46702,0.38867,0.768,1.6455,1.0976,9.911e-05,9.911e-05,9.911e-05
7,16.1532,0.49159,1.35593,0.85476,0.4914,0.61793,0.48814,0.41355,0.72065,2.05643,1.08362,0.000114556,0.000114556,0.000114556
8,22.6549,0.47881,1.00082,0.84183,0.63015,0.49065,0.60703,0.53345,0.64754,2.09256,1.08254,0.00012921,0.00012921,0.00012921
9,26.7234,0.47446,0.85174,0.85601,0.76572,0.55599,0.6814,0.60246,0.62337,1.60289,1.07738,0.000143072,0.000143072,0.000143072
10,31.1467,0.48112,0.81307,0.83584,0.80206,0.66811,0.81294,0.72357,0.57654,1.0703,1.06457,0.000156142,0.000156142,0.000156142
11,36.9208,0.44498,0.728,0.84009,0.84872,0.85404,0.89602,0.80369,0.56565,0.74921,1.05887,0.00016842,0.00016842,0.00016842
12,41.2275,0.42867,0.66321,0.82971,0.9606,0.92404,0.96676,0.86612,0.58732,0.69493,1.06089,0.000179906,0.000179906,0.000179906
13,45.0124,0.43007,0.64314,0.84465,0.96354,0.98066,0.991,0.89015,0.60299,0.66717,1.0601,0.0001906,0.0001906,0.0001906
14,47.5011,0.4153,0.60951,0.82761,0.98898,1,0.995,0.87709,0.66053,0.63221,1.07102,0.000200502,0.000200502,0.000200502
15,49.1943,0.4135,0.49478,0.80763,0.98463,0.99136,0.995,0.87616,0.69439,0.66458,1.07961,0.000209612,0.000209612,0.000209612
16,50.8693,0.47936,0.60815,0.83102,0.98853,0.98676,0.995,0.87442,0.67463,0.61704,1.07666,0.00021793,0.00021793,0.00021793
17,53.2138,0.41702,0.59727,0.84235,0.99351,0.98976,0.995,0.86967,0.66233,0.5941,1.07203,0.000225456,0.000225456,0.000225456
18,55.5424,0.42577,0.54912,0.83732,0.99512,1,0.995,0.88317,0.59281,0.45256,1.05643,0.00023219,0.00023219,0.00023219
19,57.7453,0.38765,0.52737,0.82959,0.99549,1,0.995,0.88107,0.56598,0.46348,1.05068,0.000238132,0.000238132,0.000238132
20,63.4494,0.41018,0.60981,0.83748,0.99365,1,0.995,0.87279,0.573,0.5036,1.05158,0.000243282,0.000243282,0.000243282
21,67.6033,0.39607,0.49108,0.80586,0.9904,1,0.995,0.8601,0.62298,0.52288,1.05916,0.00024764,0.00024764,0.00024764
22,69.6145,0.43521,0.48036,0.83476,0.9961,1,0.995,0.85469,0.63918,0.52892,1.06153,0.000251206,0.000251206,0.000251206
23,74.1412,0.4663,0.6036,0.82392,0.99602,1,0.995,0.86529,0.61361,0.59455,1.05591,0.00025398,0.00025398,0.00025398
24,77.5426,0.44859,0.62192,0.82151,0.99602,1,0.995,0.86963,0.60199,0.62778,1.0524,0.000255962,0.000255962,0.000255962
25,79.553,0.43046,0.51114,0.85213,0.99575,1,0.995,0.88054,0.58479,0.53673,1.04967,0.000257152,0.000257152,0.000257152
26,84.3566,0.43916,0.5416,0.82435,0.99542,1,0.995,0.88123,0.57815,0.46147,1.04983,0.00025755,0.00025755,0.00025755
27,86.4918,0.38648,0.49531,0.84993,0.99459,1,0.995,0.87755,0.57222,0.41564,1.04872,0.000257156,0.000257156,0.000257156
28,90.4045,0.42088,0.4613,0.82294,0.99459,1,0.995,0.87755,0.57222,0.41564,1.04872,0.00025597,0.00025597,0.00025597
29,92.4524,0.47899,0.5598,0.8455,0.994,1,0.995,0.87573,0.55852,0.40715,1.0466,0.000253992,0.000253992,0.000253992
30,96.0657,0.48525,0.57522,0.84205,0.99526,1,0.995,0.88056,0.56239,0.40418,1.04655,0.000251222,0.000251222,0.000251222
31,98.3461,0.42949,0.47877,0.84317,0.99526,1,0.995,0.88056,0.56239,0.40418,1.04655,0.00024766,0.00024766,0.00024766
