epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.25517,2.16725,4.14047,2.03669,0.15875,0.07976,0.11616,0.03084,1.56635,3.23203,1.57591,1e-05,1e-05,1e-05
2,2.68848,2.0667,3.6582,2.00215,0.188,0.07976,0.11346,0.02986,1.60985,3.24811,1.60733,2.9604e-05,2.9604e-05,2.9604e-05
3,3.91102,2.01762,3.95502,1.98529,0.19526,0.07976,0.10963,0.02963,1.63935,3.24434,1.6211,4.868e-05,4.868e-05,4.868e-05
4,5.16262,1.65683,3.51225,1.6671,0.29223,0.66176,0.305,0.16681,0.91008,2.34275,1.12398,6.7228e-05,6.7228e-05,6.7228e-05
5,10.3458,0.69802,2.29304,1.08362,0.2725,0.63066,0.30213,0.1761,0.84028,2.58184,1.09956,8.5248e-05,8.5248e-05,8.5248e-05
6,20.7446,0.70804,2.07965,0.97932,0.56194,0.31439,0.32594,0.24636,0.83185,3.11222,1.13285,0.00010274,0.00010274,0.00010274
7,24.1805,0.66976,1.92191,1.12375,0.08276,0.44854,0.12182,0.09261,0.93878,17.0655,1.15767,0.000119704,0.000119704,0.000119704
8,25.8529,0.58972,1.58991,0.9935,0.24022,0.50379,0.10441,0.08082,0.83859,inf,1.13709,0.00013614,0.00013614,0.00013614
9,28.6556,0.60795,1.34691,0.94439,0.16853,0.61362,0.20974,0.17194,0.77649,inf,1.11884,0.000152048,0.000152048,0.000152048
10,30.6093,0.58082,1.16539,0.96153,0.19941,0.58572,0.17284,0.1412,0.69666,inf,1.09836,0.000167428,0.000167428,0.000167428
11,35.4258,0.56725,1.12697,0.91887,0.06937,0.29911,0.08642,0.07213,0.64044,inf,1.08017,0.00018228,0.00018228,0.00018228
12,37.426,0.47911,0.97596,0.8894,0.30839,0.10379,0.10576,0.08753,0.61344,inf,1.06527,0.000196604,0.000196604,0.000196604
13,39.3492,0.53581,0.976,0.93092,0.14903,0.18479,0.12426,0.101,0.58866,inf,1.05658,0.0002104,0.0002104,0.0002104
14,45.3778,0.55375,0.94715,0.9288,0.19362,0.66494,0.27706,0.22792,0.61192,inf,1.05877,0.000223668,0.000223668,0.000223668
15,49.0724,0.51349,0.81984,0.91491,0.19127,0.76283,0.31463,0.25688,0.64489,inf,1.06858,0.000236408,0.000236408,0.000236408
16,54.0075,0.5885,0.84532,0.91886,0.23145,0.87297,0.41007,0.34082,0.67035,inf,1.07529,0.00024862,0.00024862,0.00024862
17,65.6476,0.54021,0.83811,0.92485,0.30348,0.89683,0.43088,0.36649,0.70237,inf,1.08471,0.000260304,0.000260304,0.000260304
18,69.3982,0.48167,0.75058,0.90151,0.45017,0.87629,0.64898,0.58523,0.67346,inf,1.08154,0.00027146,0.00027146,0.00027146
19,75.0556,0.51011,0.68615,0.8913,0.51771,0.89704,0.71835,0.65348,0.63925,inf,1.0796,0.000282088,0.000282088,0.000282088
20,81.9036,0.51877,0.69117,0.93035,0.44375,0.86508,0.55476,0.4872,0.65886,18.2296,1.0957,0.000292188,0.000292188,0.000292188
21,84.0695,0.51387,0.69575,0.92454,0.15635,0.98889,0.18916,0.1606,0.71655,inf,1.10749,0.00030176,0.00030176,0.00030176
22,85.8402,0.54697,0.68086,0.90863,0.15457,0.77302,0.18485,0.15082,0.71316,inf,1.09661,0.000310804,0.000310804,0.000310804
23,87.5625,0.6269,0.95351,0.92196,0.36518,0.79365,0.4158,0.34538,0.68542,inf,1.08611,0.00031932,0.00031932,0.00031932
24,92.4013,0.57549,0.82973,0.90345,0.47308,0.9128,0.62188,0.5462,0.70202,inf,1.09389,0.000327308,0.000327308,0.000327308
25,94.2367,0.49042,0.64478,0.90604,0.47631,0.87896,0.48502,0.43069,0.72257,inf,1.10077,0.000334768,0.000334768,0.000334768
26,98.2762,0.51918,0.68151,0.88671,0.35266,0.85789,0.34613,0.30427,0.6752,inf,1.0802,0.0003417,0.0003417,0.0003417
27,99.9938,0.48515,0.70335,0.93164,0.45953,0.59285,0.45268,0.39038,0.6316,inf,1.06622,0.000348104,0.000348104,0.000348104
28,102.269,0.55588,0.66339,0.92558,0.45953,0.59285,0.45268,0.39038,0.6316,inf,1.06622,0.00035398,0.00035398,0.00035398
29,104.057,0.54795,0.74832,0.88547,0.59616,0.53783,0.58354,0.48424,0.62278,12.1917,1.06193,0.000359328,0.000359328,0.000359328
30,108.48,0.49619,0.70404,0.88057,0.76671,0.74582,0.7727,0.63667,0.64387,2.18079,1.06323,0.000364148,0.000364148,0.000364148
31,110.211,0.49087,0.71479,0.89034,0.76671,0.74582,0.7727,0.63667,0.64387,2.18079,1.06323,0.00036844,0.00036844,0.00036844
32,111.934,0.49759,0.73763,0.9066,0.7029,0.96018,0.81631,0.67318,0.64048,3.88024,1.06054,0.000372204,0.000372204,0.000372204
33,114.238,0.50248,0.5892,0.89859,0.61427,0.98279,0.74549,0.62604,0.61246,7.65077,1.05539,0.00037544,0.00037544,0.00037544
34,118.672,0.4931,0.62773,0.88601,0.61427,0.98279,0.74549,0.62604,0.61246,7.65077,1.05539,0.000378148,0.000378148,0.000378148
35,120.388,0.51001,0.7995,0.88576,0.62385,0.98088,0.85254,0.73829,0.59973,1.51374,1.05471,0.000380328,0.000380328,0.000380328
