epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.7823,0.37937,0.99313,1,0.06922,0.000413437,0.000413437,0.000413437
2,145.903,0.09948,0.98625,1,0.06957,0.000789013,0.000789013,0.000789013
3,213.151,0.07284,0.97938,1,0.05418,0.00112334,0.00112334,0.00112334
4,280.879,0.11689,0.97938,1,0.08041,0.00106437,0.00106437,0.00106437
5,348.836,0.07234,0.98625,1,0.05444,0.0010025,0.0010025,0.0010025
6,416.605,0.05539,0.98969,1,0.04274,0.000940625,0.000940625,0.000940625
7,484.458,0.04303,0.98454,1,0.05104,0.00087875,0.00087875,0.00087875
8,553.575,0.026,0.99485,1,0.0419,0.000816875,0.000816875,0.000816875
9,622.893,0.03824,0.98797,1,0.0498,0.000755,0.000755,0.000755
10,691.295,0.02352,0.99141,1,0.0609,0.000693125,0.000693125,0.000693125
11,763.726,0.03334,0.98797,1,0.05745,0.00063125,0.00063125,0.00063125
12,831.048,0.01817,0.98454,1,0.0519,0.000569375,0.000569375,0.000569375
13,899.009,0.0125,0.98625,1,0.05456,0.0005075,0.0005075,0.0005075
14,966.346,0.01166,0.98969,1,0.06091,0.000445625,0.000445625,0.000445625
15,1033.71,0.01837,0.99313,1,0.07404,0.00038375,0.00038375,0.00038375
16,1100.96,0.00863,0.98969,1,0.06376,0.000321875,0.000321875,0.000321875
17,1169.29,0.00561,0.98969,1,0.0599,0.00026,0.00026,0.00026
18,1237.55,0.00453,0.99141,1,0.06289,0.000198125,0.000198125,0.000198125
19,1304.52,0.00508,0.99313,1,0.05845,0.00013625,0.00013625,0.00013625
20,1372.13,0.00827,0.99141,1,0.06233,7.4375e-05,7.4375e-05,7.4375e-05
